# Time_ps	Resid	Distance_A
0.0	4755	23.63957942524244
0.0	4757	9.930740050159853
0.0	4758	22.4126423602253
0.0	4759	5.737842538768377
0.0	4760	15.548393078569411
0.0	4761	33.384221517631325
0.0	4762	11.085799156225956
0.0	4763	21.436290307581388
0.0	4764	19.8409918881786
0.0	4765	20.33622886844823
0.0	4766	4.48372053934404
0.0	4767	33.414746273162336
0.0	4768	9.098368281869604
0.0	4769	8.525148214642067
0.0	4770	11.380056297028052
0.0	4771	3.5799967880102614
0.0	4772	31.89660422521146
0.0	4773	18.11231691483583
0.0	4774	21.46059649546869
0.0	4775	25.362844518287236
0.0	4776	7.1668238214187046
0.0	4777	17.548253748267744
0.0	4778	36.04048992103438
0.0	4779	18.805695905561183
0.0	4780	27.339154109085392
0.0	4781	24.16489883589421
0.0	4782	28.71173865867919
0.0	4783	14.100186199287936
0.0	4784	6.588813352590401
0.0	4786	22.189509148831966
0.0	4787	18.47368365150003
0.0	4788	17.721913898607443
0.0	4790	23.56439876574087
0.0	4791	5.430614887668342
0.0	4792	9.286225969100654
0.0	4793	14.75403151143876
0.0	4794	14.060105993604575
0.0	4796	21.766866068154435
0.0	4797	17.591977460539194
0.0	4799	18.51002425000163
0.0	4800	24.49621879647058
0.0	4801	5.357685746448092
0.0	4802	7.212127694147324
0.0	4803	15.469294058457704
0.0	4804	31.239517999957158
0.0	4805	17.255740088108105
0.0	4806	4.4782698185397365
0.0	4807	24.581503147265764
0.0	4808	8.561081375910115
0.0	4809	24.09786492795061
0.0	4810	21.4878284943201
0.0	4811	10.71779916860961
0.0	4812	18.153789832555127
0.0	4813	33.854635055258846
0.0	4814	9.894422704082828
0.0	4815	21.014914186981287
0.0	4816	17.22697076365778
0.0	4817	3.767788288792789
0.0	4818	3.792865737080981
0.0	4819	9.301538289504089
0.0	4820	21.64714903958658
0.0	4821	24.174609837223112
0.0	4822	10.19971061281612
0.0	4823	21.33565461325151
0.0	4824	4.270721536113607
0.0	4825	5.853092226410071
0.0	4827	37.264556619906294
0.0	4828	15.378580977285944
0.0	4829	18.904210159694312
0.0	4830	9.035142615440105
0.0	4831	17.344482418202304
0.0	4832	29.380359413130314
0.0	4833	7.099000781171133
0.0	4834	5.639029170434262
0.0	4835	26.06130166176637
0.0	4836	28.473626381341933
0.0	4837	17.523058161926503
0.0	4838	24.08471091184743
0.0	4839	14.468843525717567
0.0	4840	25.457440959104648
0.0	4841	28.606934629971647
0.0	4842	9.514237272784781
0.0	4843	19.53741359879207
0.0	4846	27.198425313585513
0.0	4847	12.215061683080386
0.0	4848	10.791040523161715
0.0	4851	20.273073804995153
0.0	4852	23.659527637609767
10.0	4755	22.906518622661512
10.0	4757	8.901046721724404
10.0	4758	23.748178239276097
10.0	4759	6.020424219948783
10.0	4760	14.684660256156741
10.0	4761	33.33647928927111
10.0	4762	10.094993004388884
10.0	4763	22.24874624900771
10.0	4764	19.463111082859275
10.0	4765	19.786973800257147
10.0	4766	4.443182159246056
10.0	4767	32.80545801118686
10.0	4768	9.464954495652298
10.0	4769	10.016409863460739
10.0	4770	11.844703240745703
10.0	4771	5.113607025964687
10.0	4772	31.311654799486142
10.0	4773	20.407367469468124
10.0	4774	19.766343215711682
10.0	4775	25.10330898459537
10.0	4776	7.97132720503811
10.0	4777	16.177385603635003
10.0	4778	35.070975153378264
10.0	4779	19.138527298012026
10.0	4780	27.271397589257976
10.0	4781	25.489134407303982
10.0	4782	29.205334965004546
10.0	4783	14.654530489483651
10.0	4784	5.8475251564222495
10.0	4786	23.631346971883442
10.0	4787	18.056581165326858
10.0	4788	18.99634916402948
10.0	4790	23.196770631258794
10.0	4791	4.9257877571236355
10.0	4792	9.424370637241513
10.0	4793	13.838352514127378
10.0	4794	17.301355308587492
10.0	4796	20.21728929025564
10.0	4797	17.96619281057
10.0	4799	16.52779404974625
10.0	4800	22.878155327178362
10.0	4801	5.3777084564195174
10.0	4802	6.416237770128467
10.0	4803	16.47112540258668
10.0	4804	30.841066045495896
10.0	4805	20.580696574622795
10.0	4806	4.899575010595292
10.0	4807	25.262819321839913
10.0	4808	10.616414525032692
10.0	4809	28.416682479805615
10.0	4810	21.858942162284624
10.0	4811	14.343772966760007
10.0	4812	20.69615779671767
10.0	4813	32.84716396539623
10.0	4814	9.510163845261804
10.0	4815	20.423539058819603
10.0	4816	16.507929762256826
10.0	4817	4.831884689213335
10.0	4818	4.3505107501198
10.0	4819	7.805391662470532
10.0	4820	22.55129160712576
10.0	4821	23.258789544804415
10.0	4822	8.802734954311138
10.0	4823	20.616196005374896
10.0	4824	4.515424022382214
10.0	4825	6.47525553833301
10.0	4827	38.240056817719264
10.0	4828	15.291081364225304
10.0	4829	18.960295293903076
10.0	4830	8.521357621758458
10.0	4831	15.543928634141936
10.0	4832	27.91625559983107
10.0	4833	5.343429115934731
10.0	4834	4.1165951631582995
10.0	4835	23.570614550045196
