#	Time_ps	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21	21.5	22	22.5	23	23.5	24	24.5	25	25.5	26	26.5	27	27.5	28	28.5	29	29.5	30
240	0	0	0	0	0	2	9	14	17	19	20	23	24	26	28	31	34	37	40	46	52	59	65	70	74	80	81	83	84	85	85	85	85	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	
250	0	0	0	0	2	5	9	10	15	17	21	22	25	27	29	30	36	38	44	48	54	59	65	70	74	79	81	85	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
260	0	0	0	0	1	6	8	11	12	18	18	25	26	26	30	30	34	41	46	51	52	56	65	68	72	79	82	82	85	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
270	0	0	0	1	2	5	9	14	16	17	23	23	25	25	28	34	38	43	47	48	54	56	58	67	73	80	84	86	86	86	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
280	0	0	0	0	0	4	6	11	17	21	23	24	26	26	28	31	33	43	44	48	51	59	65	68	73	77	83	86	86	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
290	0	0	0	0	2	5	7	12	17	19	20	22	25	27	30	33	35	39	42	46	52	56	63	65	73	76	81	85	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	
300	0	0	0	0	1	6	8	10	14	19	20	24	25	26	28	32	35	43	46	50	52	56	63	67	71	77	81	83	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
310	0	0	0	0	2	5	8	10	15	16	19	23	24	24	27	31	33	38	40	46	51	59	61	66	74	79	82	86	86	87	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	
320	0	0	0	0	1	5	9	14	14	18	22	24	24	25	31	32	33	39	42	45	50	59	62	67	74	77	81	83	84	85	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
330	0	0	0	0	2	5	11	13	14	19	22	24	26	27	31	36	38	41	46	50	59	61	66	68	73	77	79	82	83	83	85	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
340	0	0	0	0	2	5	7	12	14	19	22	24	25	26	28	33	35	41	45	49	55	59	63	69	73	76	80	82	83	84	85	86	86	86	86	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	87	
